X_07j6EI4gu:     3528     
wwaVKT:     999999     true
v_UbBTCRDg2nSBT:     3108     
dAXZ1R:     1226     5
FQoO2xzw1HOIX9lDzL95:     -2374.9908858653243     5
HDpscG06KQtGDW01q_:     not_a_number     false
YzJiaMqBlyyWW6wXlFrh:     -685     false
ZT0Oz:     3669.209489672141     false
xr2Lde:     4566     true
QV8:     -1559.470489194313     false
wYN5ZfPB1:     not_a_number     random_value
hschbiW:     5339.446410542259     true
EwZFLV:     not_a_number     false
kJ5Z8bkIW18u4ovH:     -2107     random_value
mPTB0DqxFWmSEd:     -4558     
gWuV2CsG:     999999     5
ncMmnx10AhN:     -7700.696525964871     
NvJuEz:     3937     
AmV3RmKU3wK:     2108     false
reZLRobPDyaZbSZtJ:     -99.41405170775943     false
fmT1XoxVoMsrP:     999999     random_value
zug1hY3SrNik4K:     not_a_number     false
wdfZFvUYOG9BU27fhEfY:     not_a_number     5
J7ItiviEao9_y:     not_a_number     random_value
oZAMWkIjE42:     not_a_number     5
vrPqZRFL:     2034     random_value
kPJzDPGQSn6:     -4441     false
RW8FpSlM81CNLZo4OPzo:     -2096     random_value
dj03C1st7RGbd06H:     not_a_number     5
yMcMM44yuVUsxV:     -2855     
D0w0WMDUUO0n:     999999     true
PPGhTN:     -14     true
S7eqvj33L87l:     4297     false
hR:     -1039.714052063422     
Aha0KQYsDv:     999999     false
D696DN1ohRxbCnQvm:     3954     true
MSs3Lyjkk7DlA6h9sch:     not_a_number     false
zWX9L7YREiT:     not_a_number     random_value
LY:     -2147     
PQIvogiqYL2K7j:     -9121.186053597841     true
zx:     351     false
xFqzO:     not_a_number     5
fV:     -3410.603974055226     5
RSrAodAHwRM9AM5:     4579     true
QHA1:     2277     
Sr37SlJC:     3178     
MfSLfD6VJtxskw3pcMW:     4503     
ATkThxmjoXtKDnrj8cll:     999999     false
Y4VByq:     999999     
BUcxnprFL:     not_a_number     5
AYS0X4uT:     -3712     5
IdddawLx1ijvaaI7:     999999     
bbMXKA2_r:     -1032     
ilyF:     -3262     
vGw1zNSpg1DstqXl:     -1885     true
CQEvnmu:     5120.345260448841     5
UI:     -1902     true
L1YdhL6mfy03:     -383     
KKxrrZyc5kDbLO6Dyc:     999999     false
CRZa1bRvY02QpixwRs:     -2082     true
o1FxXkc5U807P:     1350     true
v1FBuq4:     -4422     5
Uiw1O0_ODp0Cu_2_e:     2953     5
ieZ3G:     -3906     
Nol1l3S7chvZ8ffA:     999999     false
Yvk_wF36sGAGPWiPXX2:     2381.9117206948376     random_value
hXE6zxbj9IZUz0BgK8w_:     5600.022267540631     true
EwDQQ2m:     999999     random_value
c:     not_a_number     5
SLSHojasq58ttKvCu:     7178.678758904971     false
G:     not_a_number     true
sbImPNMm:     not_a_number     
jmikPh22L_Gx6CHlCIf:     -870     
epLDB7GzdVRq:     4234.189674749985     false
RmHEwRlZYR1FLKDEHv5v:     133     true
Ipd9kCID49yX3T3c_:     999999     5
EaZKAxvEHGar1QIiV8:     999999     true
sQxMjF9sZeNf:     not_a_number     true
JDb:     -2809     true
opRiPd:     -129     5
wJWC:     999999     
P4FnH8HF:     5846.447945722695     random_value
IQh9lA3Hh6mFLLB:     1320     
mqtp:     608     true
Ljwg:     2444     false
A4meM:     590     random_value
oDaz4ew8ksfg:     999999     false
hssAEk8MTlgMPBc0LDyP:     4875     random_value
CZIgoA2w2b5ozSFoj:     3051.4621502100017     5
UIbie:     not_a_number     false
ZQceXham:     not_a_number     false
vL:     4916     random_value
L:     -4674     5
J1xt8ttUriHrs0W1:     3518     false
qR2igZbtqu:     -6534.729820301257     random_value
FzP0rtyjb7:     -2569     
uBBg9zMz_aDNo:     999999     random_value
lRyHB62kd9:     999999     
m0eFzXZT_6H2zBm7Sx:     not_a_number     5
AKmA:     -3398     true
aqZ2Yz7jzj8Fyj:     not_a_number     5
SlanMNC:     -1411     random_value
Z3UII5Kb:     -3714.9471315697992     5
wfzD97VGPUsFDVGE6d:     999999     
sgM9hrsUfJ1OW:     999999     
qzLuaHRx:     not_a_number     true
JE_01p0xbz_VfUi5F4iG:     999999     5
XwZJKoI9mB:     -2817.5301068464305     false
kD:     6817.755667576443     5
cIc:     3120     
Vc0pN4EfZH7jH_9:     999999     false
SxDMGOm:     3135     true
jdGea7Ie7du:     -53     false
TYUiRcwzVzgmXZ:     5514.449047037329     false
scE:     -1693     false
Fg3BlfBgo:     -2624     5
HpEFEsr3Y:     -8224.020160317526     random_value
VsYXaN:     999999     true
Z2zBdFGykT5:     not_a_number     
OlntS_rnE:     1018     true
q96V3cIiTXpZfbJnw:     not_a_number     
FOcM4ha9M7Z2sNK9ZxuU:     -4706     false
NME:     -7348.0287836217785     5
CrcngSHZ3:     4796     false
YRqxq:     999999     5
wJTuP64T3LV70VNqcV:     not_a_number     
Va1QXn9n46aHsMP:     -326     true
sFs:     8131.110209389255     false
OLKL:     not_a_number     
tmO2a2UGUnZnNP:     3131     true
olJjuaK03uHlemZKkuJ:     1998     true
kjk0yapThH:     -9815.850926897105     true
RcGFQ:     4861     random_value
A7jNFqme9d:     -1805     
X2iY_:     1394     true
E:     -2902     true
lCt8i:     not_a_number     
e8Q4:     999999     false
h3:     -3095     
rYfostnNhF2xE:     3682     
Md_5Q:     2526     true
jcBG4Dtshcnev0Q8bP:     not_a_number     
gVSLpDu:     not_a_number     random_value
PVdP:     not_a_number     
BtVsZHl6B_Y4UzfOPA7Z:     -3564     false
Ae:     -4556.022169391087     random_value
kSXO7Bgv4cQXy2:     -4742     false
GbTRLdj0xIE4j:     3211     5
hs:     -1997     true
TU6EXRoQALSu0:     2155     true
mAgG:     1188.8865788633611     
awJAWnwK:     4963     true
xgpiIH7zQk:     1923     5
xd:     132     5
UpUOVQ8LaKN:     544     random_value
F_zdQ:     1750     
q78CTBkyRzr:     not_a_number     5
e:     not_a_number     false
qGhbAgeypxQZs:     215.68061273717467     false
NJUp2XQ:     3526     true
pNL:     -1736     
wCYw:     999999     true
BIMUzfb:     5913.978108390998     true
KtIAGGmIV0cHliOKyW0u:     2088     random_value
On7_PGcd1KmRI:     -969     random_value
TCpz8F638NKxNez:     8490.835821629724     
YOR_BCf1yeDgReDY:     4219     true
Pav0_u7m4OYtPZq3an:     -4618     5
bM:     999999     
SVA4GBH6pihnBD:     1910     5
KObZB5JLvOm:     1309     false
j4e2:     999999     random_value
g3NYhrKNbGnNSkzNXLE:     not_a_number     false
jVbM0BtiEsdxyoETJ:     -1354     5
adT:     3377     5
NKUpSYYRh:     758     true
Y5dHG0:     -1336     
L5cJwbVEHfz4m_V:     -1367     true
AOao:     999999     5
bq_BlB8r8Pc_v6c8E1Y:     -1320     random_value
BaqY:     7659.995501585101     
z1Vzp:     -3763     random_value
hct2RnJDB:     998.5070998286137     random_value
ZJKG4qNoP:     not_a_number     
mdTb:     -2179.6210166086857     false
v2Aka3T4h:     -639     true
AV9r3kt8DN2:     999999     random_value
AqNAIBnw0g:     3116     
AtffmjyNMI8lV7iE:     3347     
RpvuLNCcXiW0H9mNM:     -8044.522183114435     false
ovLoitNX3JeBysAvn:     -1598.278999911936     false
HTdNLvKIn:     3159     
O02WoaDWXx3Lroar1of:     999999     
naQ2Y:     3055     
AGxkzhiixrhmD28g:     not_a_number     false
i4uYk4LFj:     1786     5
JnKFM2vmqXfw1O3:     -1455.3441610599348     random_value
afxWlT:     -577     
eZSQ_7_m_s1woAlGjx:     4335     5
IbFzV7tluRVD:     -80     
V:     1109.8768325609472     5
MUMZg6TK9HjrOykhZ:     322     random_value
Fls1OBIGeb_mU_9ugYOO:     999999     random_value
M49Ybp1_s86:     6636.757863850336     random_value
jSmFS969MxNqzPY:     999999     false
hB8FkaWITHRM2teX4ZwO:     not_a_number     true
f9gjA7JaUyU11:     -866     
jd_:     -2246     5
Mfd6FYs45FWMH20H7V:     not_a_number     false
pKNjyDyLGrjInEpjbc:     not_a_number     random_value
mFC8vQ3PKsjhsGH:     999999     false
Dt0:     999999     
XZHh6LcH97aZu3G9U:     not_a_number     random_value
SWcmulXnbpKn:     -2418     true
Tn:     -4098     false
gMd:     999999     random_value
BvZivjC2T2Lon:     999999     true
CQX33:     3646     random_value
OYswg3YLub3Dum:     3101     random_value
p4RY2aL1qf:     -5079.04645699687     true
I1n5:     2634.9848337182775     random_value
aKioHCDubyM:     -1535     
Eb:     999999     
QhXOOrQbvoyFonw:     -764     random_value
L7B2nWBt:     -252.5181783226908     random_value
cW3NkdNUUrYx04SBbNAq:     not_a_number     random_value
jaBq:     -4374     random_value
yRAgE6JZeC_q16mg:     -1799     true
G:     4793     
vlA7bREI1gx4fz9ZG1s:     2056     5
U8spdYjNZhg1Rj:     999999     false
KH:     not_a_number     false
EaUpkz:     999999     random_value
yuQ9TnXJ5uNN:     not_a_number     true
KUU6TbRgSE:     2569     true
HhW5jouMGBv486BQ:     not_a_number     
UTtP03u4FEWlgzld:     1853     false
Gu5gsJjqjLKj:     not_a_number     5
loOuffNXanMtJF9yEW85:     999999     
SXJ2IcVQAvt:     2414     
NCNEscsvIjGfADt:     607     true
z9cqItW:     -1840     false
Cuzg9Qxk59_1:     -2354     random_value
A1EMlVyZuvZ5IcD73w:     not_a_number     false
R:     -1820     false
blchC6LRCW_UQpxs:     not_a_number     true
iGQV_LIppbCRSPdq:     not_a_number     random_value
fjNge:     4696     random_value
FgPZ:     -4867     false
H9Kk119hBH:     999999     false
CooxD7hkzMqVCSeh:     -2881     true
L4T:     not_a_number     5
IZn4Oab3Dpe9Edi:     -1762     5
opOyX:     -4711     true
QY2o:     9141.366984462904     
BGuMt6q:     2572     true
XP_UKJP54kxiJ3BjLot5:     999999     true
LdOHiJ:     999999     true
BdpQ20mjcsv0T:     -2187     true
kwDtT20i:     1035     true
dDiVCh3N:     not_a_number     5
A1MISii5DiHrHe4sHkt:     999999     5
m_3Oeyk7AIXgmjZ89w:     not_a_number     true
MZhEqh:     4783     false
ext7jlkeF6_r:     not_a_number     true
Z4DM0JHBqO:     4111     random_value
Y6g4EaQMTyRi19:     4931     false
i3Zqr3QwoFIHD:     -2958     
N7D14:     999999     true
pHWgyqiKxkYLbtQ0O:     3470     random_value
uczRks6BUIfy:     364     
v_XyJAma7KrZnDG67g8h:     not_a_number     
PlGK0S5M8EmpBZ:     not_a_number     random_value
rPMBr5noSOpfSE2xd:     3868.6424082580634     5
zMYUIALSo:     2790.1283693996847     random_value
ZCTkAA77Lp4abMhiogpU:     -980     5
xLhJMXFfAc_kugf9pssq:     not_a_number     random_value
BoR_jAYcyzS:     -1600     false
IlCoOeHyFuO21gsEvmh:     -2722     5
aodyDXubeUydBNY:     not_a_number     5
scP08q:     999999     true
PVJd7fGA:     999999     true
Cr:     -194     
A8:     999999     random_value
obMz0avvN_4ICD:     -1758     
ttG3:     -3274.6889389930975     false
ITD:     -2242     true
RmiiLnwI9J9d1zwMLf:     3219     5
T39L8XhzJbA0c:     -3415.320511609463     random_value
HtkX60uF3yOPsXz3:     999999     false
G1HNZpkwY76tLJB:     3038     random_value
dyszDTWC9Que:     not_a_number     random_value
lRJj5gJUWH:     1029     
Dwk_LLLsIK:     1463     false
i:     999999     5
QigwKIVAsZJSc4hhWnkQ:     -2521     random_value
yvA:     -1459     false
FZ9saBVYfgZgOTe:     2693     random_value
b6p9J3B1Kc2kFgP:     -1139     true
mzbard9B:     not_a_number     random_value
s1JuMU0pEIlElMnFY:     -950     random_value
q1ExTO0B_I:     3051     random_value
Jd4Yfxv93W7Vax3e:     1468     false
aoEtKzVjn:     -4766     random_value
a5rknnGpew1ZGgQBSZl9:     -7895.428834371556     false
GeIaKHIusmoZ:     2304     false
q4ZR4GO5PJc9LaMOssIm:     -1439     random_value
sKsR7:     -1113     true
y6Y0Tm405:     -466     
rFchbFW9H:     not_a_number     true
AJ6oWNjHUZUF1GAB2:     4068     
hf1yl1Mwxbi:     -7505.699648981183     true
dNA4T:     9372.014601598268     5
HzVDpmQFxyBeVqLMuxBm:     2638.386964518837     
L36A2Wt3wY1KzxH:     3299     false
H9xH0wgkfkgJrlggW:     -4615.07544295396     5
k0L5zbZIYhIcnpBP:     2331     5
MK_Hd8o:     -468     true
xVUYHAr:     2714     5
g:     not_a_number     
FgUn_aE2:     -4870     5
Ot:     -3919     true
z_dF:     3780.3158333322153     5
t6H:     3098     true
DU0FBVmzcNeuE0:     999999     true
a5TB:     164     5
lcT8OqdZH_P:     999999     true
iQ7MsEJzpoI7GP:     not_a_number     true
o8yua:     999999     false
WkG8AgkODoWzu:     -6289.756500306445     true
HRC:     -1188     
AD0fHaYxuOd1K7I6Dc8T:     1813     
oC5zSr6koNzmeYXnOi:     -3267     true
lLhYBZsm2h_9QiVc8IB:     not_a_number     5
tRvAOb5ttHjhQ72xDd:     -7582.192806266135     5
RqiS5OGMaSD:     1353     random_value
oWyUrSrCRDy:     214     true
E37aB9EyT2vQwbGa7:     664.3845527943977     true
hdyaWx0urpnd7J13GtZ:     999999     true
lMKE6T:     9720.089903339303     false
Bu:     not_a_number     true
P_yISe:     -3145     false
BEZWdxErGGzQEjErw:     not_a_number     
dEF87g9yPYL4KPVC:     -2509     5
fGGtJPHyb0176Z:     1533     5
KBI8zD30Egc:     60     false
Gl2uC4:     -1449     random_value
abSeVoS:     1692     random_value
o1Zqz6jab:     not_a_number     
NXxLG9ZzSe_OwIY9lGKF:     3033     random_value
d8CBbQPcWNT26_g7sl:     4011     5
P1B4:     0     5
E0FntxcB6cQOiU:     999999     
KW1KyIiKFK1:     -8920.225487820015     random_value
O0QMzQd36KY:     not_a_number     true
ORcYQRxsO8ykUGk:     1567.6786440715023     5
ul8umbZ9RXHhsffYOG:     -201.0854948192682     false
Wlzgiq4luT:     2134     
HqRpEU8yFg:     not_a_number     false
yQfT5sEZFdc8atZFi:     -2873     true
KXSniSO:     999999     
oAf0O1z5Yin:     5351.1502341634405     5
M4BgiOCONGr:     831     
mfKKBvnUVt:     -584     
fTrUKUo:     2587.375608112081     5
sodwxD19:     -2575     
AqgfkxG:     681.4141518046854     
oy_a0pjT8xv:     -3120     
kgP5G1niWkE2nvc:     not_a_number     random_value
G827FK_aweeoozis:     576     5
A8EymQb:     999999     random_value
aWv2MOef9HnkPkkcZ0:     not_a_number     false
N5ucxr6beRvWEaPka2o:     not_a_number     5
w0Y0EyTHo6_j0K:     -4747     false
aSTKSdvcW0d7c2oiu:     not_a_number     5
e:     280     
yvyw9Su79s6E2:     -3389     
r7Ofo5cdY4:     1127     false
ELu6MHxNQVyw:     999999     true
aWIoNuNkYkeQyCJ8bn:     -2267     false
xkuPGhFy:     -1815     true
Ote4oI8eWITJga080Vz:     4328     random_value
bPxqxhuWWSH:     999999     false
vJtqldA5XmH:     -2072     5
L18EJktEHkL51GYL:     3401     5
oiSNqohTu7jW2E14OVO:     999999     true
zHUI_FV:     999999     true
D_ybSYLuPMeLXDIR31:     1254     false
Wv7RD4osaUj:     -145     5
SecScQH:     454     true
mMGdXkgzOYWhVlk11kX:     1789     
nxeETawwVw33H:     1887     random_value
rjIOI7qJphi:     -3673     false
a9y_ASSTL:     999999     5
Xos9w1t:     2577     
uMk9jUOdQSRuPbv:     999999     true
MKc2Fh7a:     999999     true
qgxYafmgzWleX2b7:     not_a_number     5
LYsvDPBrKcEy:     4492.30369940683     5
Wn5kvSBZ0Ggi:     999999     random_value
esyqe:     not_a_number     random_value
QWuvPKwqvqQ6XyKOsrNy:     not_a_number     false
b9Nrc2QzG:     3569     true
UTYZqlSmDs0HqIwmdh3:     not_a_number     5
truLOYHTy63UVqpG:     not_a_number     true
ll_DQUy6y_J:     999999     
dPUsIKCaSgR:     6334.647446451467     random_value
DfLv3LO:     1413.5306577199062     random_value
ohrknjE9vMY_wjDcRW:     -4055.0316479091844     random_value
y_ebXobmgDqdN622P:     2222     5
T55caYs0eB:     2327     false
UqWI:     8226.112680766735     true
LJDlUeQh:     4596     false
zvlA:     -3819     true
HB_C2IX5PD:     999999     true
PUZKQNCmJegcon8owI:     -4254.964439055624     5
eMzmwmwDbUc8:     -4131.619235684519     false
JdtvgsQFj:     6490.517894332614     false
wcfs10O_9ptg1tsR1i:     -209     random_value
zpUMSp:     5027.561027875241     5
x:     -4523     true
gL8s2TbaPQgUnKGvoQ:     -5943.517381496786     5
ikX6A40_WXAD0x0:     not_a_number     5
bccDVe:     999999     true
lfzP4Exinw8kzymy:     999999     true
TsiP1OaH6:     not_a_number     random_value
XGxB1hBCO3suW:     -2834     5
VYx4HvkEh:     2418     true
KSoRDmEuV5Wi_H:     8643.957247334449     
yC2dVEy:     999999     random_value
ggvD0ebHmos8_o8xsN8:     -3812.1546440034963     5
EiYrjJ:     97.49344080043556     true
PeD3Gkiwrw67V4IS:     999999     true
me6ftquIzn8dly9_RIv:     not_a_number     true
VXv:     -5945.702992428374     random_value
vxIlsURwTbo:     -1505.62825750909     random_value
XJKgYQiPw7qTr:     -9985.042736395204     false
unLxCdTcnYccpn:     -4341.915191435579     5
toS9Hv3i7KH74HC:     not_a_number     5
AoppdEClTUqJkQtxUr3n:     -1642     true
QbAy02S1lXa:     -351     true
kL0ewfUP_Btg6Wzx:     not_a_number     5
AjTb4zOmsHHqVNWpE:     819     false
k8LiMEyRVDmzgTF:     3577     true
u:     -4467     random_value
gztz3KJ:     not_a_number     
nfOwa:     -4088     5
MLFr8AHm5HUW3iGnwLux:     2181.556560922647     false
LSl0dI:     not_a_number     5
MLMaGhEnQIAsR:     999999     5
x2lvh3IDe_3D7:     2723     
dIec:     -2010     random_value
G4X:     999999     true
ZRMwbycg:     -8939.150580008925     true
XME3ZOR9BbZwkp:     2142     true
W_YVC9izu8UTn:     6906.272115379947     random_value
Wsnm:     -354.7735006222283     true
Yr_nB84:     -4396     true
gMxuCPg:     999999     false
d8YLfnWqxH_6syVB:     353     
z:     not_a_number     true
XJQuH:     -4     false
FdbRYxelK3cJf:     -2116     true
HzdAbf1rLhC6R6:     999999     
YNS1:     3561.1990884565275     random_value
YogOpvR8C_FRSe:     -4110     random_value
BF6i:     999999     
HEo:     2542     
lG3D57D0gkvAWg:     -1576     
u_6e:     not_a_number     false
FHCisWtKXmTguWaOqx:     999999     false
s1F1evRAdYuz:     999999     random_value
pmWyI8L7Reqt7U:     999999     5
znz4WNyxhQBgsk:     -8403.097242194803     false
pssQV:     999999     false
SMH:     -2782     random_value
KOWHQA:     -4066     false
RBRhcCNzeAfr:     -4051     true
jAS87z:     -6555.9522703252405     5
W3G:     -4089     5
v5EkmKHodzxvOsZXZvi:     -2318     random_value
rhH51:     2581     random_value
yBySq6vGHL3fdepz:     not_a_number     5
F5gBWoebadIx:     2191.4565626051226     false
dt09KmyUK9S6xXcceM2N:     999999     false
NShVDPSrOyJDNsDxLi:     1636     5
KPU4jegFfUsWG16:     not_a_number     
o9GZLVkWBfXeXh:     999999     true
WuilYzCj9ahZJY:     not_a_number     false
M:     -367     true
Y4dolGEDRoHrhVJ3IS:     -3527     5
RNXLX3ZoEYrLN92Q1J:     2946     false
ejS4OjJ2nH2Ok:     7347.143994761758     random_value
QAH2quz:     not_a_number     false
O2nww:     not_a_number     false
MPCvTTPF:     2176     random_value
jGRde47g7AVZfnX:     999999     5
IDhgZo18vS3RYVug:     999999     5
NcEgXR:     not_a_number     false
Yf:     999999     5
cVYlrrCBJkB29HfGY:     3292     random_value
gLqhl7:     4143     5
famk9XrhVfotyg:     1127     true
vifO:     -3695     false
fOXafawNCTiNv:     -2108     
RvT4WkYyuXw:     885     5
Bnp:     -1826     true
HLy7ULJ4Aeb1yUpaza:     296     5
K3:     3799     
pKHc3DS7jw:     687     true
F:     -4600     false
dhu2rphLrplt:     999999     
Weibdo01O:     -3404.1234122997885     random_value
gF_H_0UXktMMhF3Ov:     -2033     false
iW:     999999     false
k1rhljU3NBazm3X0_YEK:     1545     true
ecdN:     -1656     true
u1pgO3u4X0SHcnor3:     -4657     
qtC3nDt3bVeyHSVp1:     -1296.2264614766464     true
eO:     -4482.887459985932     random_value
JdpiKZzGLEPPMo:     -3289     false
rEAHO:     999999     random_value
O:     2602     true
wjKJKw:     999999     false
PHcoBjQMKqUCZy_YWq:     2502     false
TDTACC9EOBGKR:     -2134     5
iGBHrWSB:     999999     true
c7iB8E7srPy4:     not_a_number     
S:     not_a_number     random_value
BN_ySIIRO_WyWtp:     14     false
PXy6:     -3526     
cBb9sGym:     -239     true
v:     -3024     random_value
d2etGNWLD:     999999     
xDzOC9NmzBJrL_V58bf:     408     true
cZB8EZctB54F:     not_a_number     true
PT:     9766.317193837083     5
oSwAornBYsd68TiM:     4000     5
Q7H9n:     -2214     5
v1NYhtcyPQhTpKMquySQ:     not_a_number     false
Qg7Sw6G9aJw:     999999     random_value
gZULgJHBT8:     -3741     
cGd5y94n:     1850     false
QYYUDp:     -4045     5
dmjHDL1w0ch:     9246.123539762335     5
EZJpC6V3zK1PUIfVSDm:     -800     random_value
znPbW3jKCBVj2YNT:     999999     5
Bv7PdCeS_M4wI0jX6:     4504     
KFwa5PiIKkiI:     not_a_number     
SsQ0s14StYRo5u0TCg:     -2594     false
XszxpH5spdfLK5Z_k:     -1679     true
A901RVrKUfEQTOkrw:     999999     random_value
bk:     not_a_number     random_value
NKBwzuuGLIqxwr:     999999     
RUd:     999999     5
eVhd7gi:     999999     
jp1O1IL7:     4779     random_value
SgM_QfoFSWKpRVmBwH:     1803     true
o2NkULwWCxBwcIt:     -1088     true
ayZGDzJfL2FzTEe51ho:     2810     5
NBsRFeqkF2:     -1151     false
VpmZoypBk0:     2679.800970950706     random_value
e12:     -1040     true
os:     999999     true
HfM5RNb8RatgCze:     3633     5
P:     -1089     5
RKUGPnKgdUG0:     -7742.797429927441     5
pC2MG5Akr6dAGcEBQnc5:     999999     true
V2QkyskX2NSfbCEM:     2448.2067745947697     random_value
WDQ7CnLiTaspwdt3Iv:     -4642     random_value
IbtdOL5JTHjO:     -3507     5
OMs2dZ:     not_a_number     
tez:     not_a_number     5
wLxAVT9SyCeB_WAl4BP:     -9880.328529060802     5
aHx0izmKqP9ayapEc:     4112     5
g04Oy6kt:     -60     true
sw:     999999     5
DutlHSHHyK:     -2820     true
xBLetv7j9RQBgDe7EDFn:     1530     random_value
BCC2atXWC:     -585     false
PtNOd8BDudCj1Qaf9:     1747     true
JGQSmMvS:     1915     5
ArOOwt:     3566     random_value
LZYJq:     -3131     true
Y_3fIe:     -3093     5
srfYj0h:     999999     false
AJvf8Gw8aMF:     -4108     false
wkfHy:     -2849     random_value
fjv:     -4757.093520359408     true
sjTlw:     -9988.505348165632     true
XWNzDN9:     999999     
nttKL3KNnLmfvCHmDL:     not_a_number     5
YDDn:     -4061.250750038299     
T0GfPJVj:     1533     
lCvPZozf:     999999     false
sftGTl:     4972     false
AMxxRDI16_jyPO0Apw:     -2826     5
eIA5uWa2Dl40:     999999     false
d0jFW38uk51ckSd5eUF:     110.44428544022412     false
vvWOUE1JrxxgsTuM7cG:     -1304.9154751448787     
H0:     922     false
Y2imGvhra:     -1312.0271152013102     
oVmV:     4514.818718500101     
b:     not_a_number     random_value
NvRLZzHh:     999999     false
fbVdV8SMuSt:     3100     
zjpwfhCZLbj:     -4259.479746675132     5
WsvvMOfpIl4in4xAk7:     3111     true
c_7j:     999999     
cY17JPhHSb2H0:     -1654.8702877847154     true
fRWdPQ7ap_Rz:     not_a_number     true
ORsZQ:     999999     true
sLGSVTIxrr:     9077.987196629092     5
mJbVxVd8_MaEyVB:     2873     false
kSpEqakl5rvtUw2XT_:     not_a_number     random_value
IYEjJuP4Ni:     -3835     5
KcMg0coQJuTafv:     -3908     5
aAxmMs:     3113.774208904453     true
JmwFBjcP6ExlYu:     -4132     
e2:     not_a_number     true
yjxONd0AVNxqBmt3onW:     999999     true
wqESvRsG1cB9l0CsO:     -2895     
cSm7y13Whx:     -2456.3709773256505     5
V9r7iZJ:     3497     
hGp7IRgLa2DCIuPZmW:     999999     
m_Y:     4924     false
kpJotH4q9YQ:     not_a_number     false
SNTbI9xhhW_Udfe:     -3528     5
wg8pXw:     3027     random_value
M:     999999     false
Oaj6oEAVyub3scXbA8e:     3757     random_value
CR4aQrkGy_8:     -1439     false
gtn_bzT9p2GKcgxg:     not_a_number     5
g:     not_a_number     true
JixMbiug4RAW:     -2765     true
enPMm:     5896.610125761728     random_value
yngquwfmn:     999999     5
rbY_bGPDTu_:     999999     random_value
E7Axck:     -4933     false
V5RS7UoyPs_Aqt_:     not_a_number     
s7A0RcL2DJxY3Lq:     4034     random_value
ALdLPnBtSe2wq:     -1884     false
z0:     -9599.948476355237     5
x3NW1:     6713.07663714634     true
By5JptJkNgGQa2X6:     6946.8464975918     random_value
CeHeZf5:     3312     random_value
V7MbLbyJDlGtoGJ:     381.5479815182316     false
lE:     3519     random_value
FMcYHpgL:     289     
ZPp6tlh_GSMl:     -1731     random_value
EWWlMQq1R3:     999999     random_value
lSV9mY4vovXsjjB:     999999     false
Z96:     999999     random_value
AIXyFymXLyrtkqza2:     999999     
nFaGfUGYTWEea_:     999999     false
TnyoEKIYnGPl:     -5715.476822433811     5
Weedj8XzTnwbReqRsXqX:     not_a_number     5
tBet1NCz7m7R:     999999     true
QZQKP0Sym8:     3579     5
UvLCv3ZT2SDowLkC2Jp:     -1088     5
tAoq:     -4888.421754373273     
v8PyiGHFQoW:     not_a_number     random_value
z8I5lgdCHrhe5S_:     999999     false
O9qW5P2:     -2508     
NQIFtWVqmnIBN:     not_a_number     true
eMh5pDSpd:     not_a_number     
wCpma:     -2245     true
lBN:     -7203.523866176078     true
dOjeYj8p8us9WjZmcim:     1039     5
dRm38:     3687     false
SuPx7:     not_a_number     random_value
X_:     -2499     5
m:     -4156     
j9wkmRy:     2505     
Csr:     -7903.486739062781     true
wIWfEERq5zByv:     4098     false
dsEDm:     4075     false
xpDE8A:     -1928.1897159455739     5
zQGpY1bsifKshD1XX:     999999     true
VJTBnRwhcgbZ_C7qxg:     -2872     false
Yh:     -2062     
FY1Ev:     -3012     random_value
oghu1Le7b0J2z85ClHY:     -3544     5
J:     not_a_number     random_value
vOlXHXN_Q_77:     4247.931316846341     
lUq:     not_a_number     true
magfBze:     not_a_number     true
ADvQlsyQTrsFbM:     not_a_number     
iGDf9P_vg6ZK58Lw8nQ:     999999     random_value
CMznKEe8JtyI:     4676     5
FLqWzUdyqehM7rHNg:     3793     true
BL9C3jmPFDFA7aBRxCt6:     887.9826598630552     random_value
EyAY9blVs59:     not_a_number     true
j6lKQmnE5758:     999999     true
razv:     4300     
D:     2087.4051019188446     random_value
zB0DOq6LBkjri4DB:     864     
OAVaswcDeu:     -4448     true
qt:     not_a_number     
PJ_i9_rrx:     4968     random_value
F4:     -4382.724367887891     true
l1RLreI32gDr0M_j:     -3378     random_value
jXhMoif5BEqhEEAY:     4598     random_value
aI6i_akY4NhObBGt6:     999999     true
HW8H2KhoBSe:     -3021     
jfW1WCffYAXwH:     -2123     
WZFs4IY:     999999     random_value
eJkSybqNjPUONKaX:     -370     random_value
hSc3:     not_a_number     random_value
FmLgdk9:     not_a_number     
pctxPD7jCVcWd:     -2139     
WFz:     not_a_number     
fgAeYaLo:     not_a_number     random_value
Gz2WmimVBiT:     -3602     
GgnwGiKvioqSfw:     not_a_number     5
wD9pmctdfo4IpJ114lXq:     517     random_value
z:     not_a_number     random_value
G:     -3544     random_value
YkBN_y8T7RlqE:     509     false
tnP9Npoqc:     4675.277435092454     random_value
vxJv:     -1188     random_value
p0QsqShEE:     -1380     true
dWcwm6:     999999     true
qNcE4kJB7rS:     1394     5
Mug4U:     not_a_number     
mz:     -838     false
FTH34QK:     999999     random_value
ysp2:     999999     random_value
RvAyyMaTxaNkodPWeoT:     -6030.546375192902     random_value
mJQWoJZQv9VOdo2ORQ:     -4809     
Of8Xc2:     1006     5
U3BOaThVlF:     4008     random_value
